family,metric,setting,scenario,pool,patient_id,eval_role,assignment_group,treatment,control,delta
generic_t140,negative_MSE_FP32,mean_8,E,mean,3832,selection,A,-0.2828318290412426,-0.2826898694038391,-0.00014195963740348816
generic_t140,negative_MSE_FP32,mean_8,E,mean,4092,selection,A,-0.2970032561570406,-0.29684835858643055,-0.0001548975706100464
generic_t140,negative_MSE_FP32,mean_8,E,mean,4992,selection,B,-0.29471771977841854,-0.295013215392828,0.0002954956144094467
generic_t140,negative_MSE_FP32,mean_8,E,mean,5376,selection,B,-0.27326497063040733,-0.2730809170752764,-0.00018405355513095856
generic_t140,negative_MSE_FP32,mean_8,E,mean,5722,selection,A,-0.2911514323204756,-0.2919134646654129,0.0007620323449373245
generic_t140,negative_MSE_FP32,mean_8,E,mean,6881,selection,A,-0.2650532592087984,-0.2655028998851776,0.0004496406763792038
generic_t140,negative_MSE_FP32,mean_8,E,mean,6985,selection,B,-0.2792654801160097,-0.28006481379270554,0.0007993336766958237
generic_t140,negative_MSE_FP32,mean_8,E,mean,7932,selection,B,-0.2954350635409355,-0.2955174595117569,8.239597082138062e-05
generic_t140,negative_MSE_FP32,mean_8,E,mean,8168,selection,A,-0.3344792351126671,-0.3344287481158972,-5.048699676990509e-05
generic_t140,negative_MSE_FP32,mean_8,E,mean,11436,selection,B,-0.329223208129406,-0.3295318968594074,0.0003086887300014496
generic_t140,negative_MSE_FP32,mean_8,E,mean,12018,selection,A,-0.3061777148395777,-0.30650115199387074,0.0003234371542930603
generic_t140,negative_MSE_FP32,mean_8,E,mean,12050,selection,A,-0.2799145560711622,-0.2807439099997282,0.000829353928565979
generic_t140,negative_MSE_FP32,mean_8,E,mean,12097,selection,A,-0.2692909613251686,-0.2695646733045578,0.0002737119793891907
generic_t140,negative_MSE_FP32,mean_8,E,mean,13567,selection,A,-0.3066296298056841,-0.30694195814430714,0.0003123283386230469
generic_t140,negative_MSE_FP32,mean_8,E,mean,14307,selection,A,-0.25201749708503485,-0.25205342564731836,3.592856228351593e-05
generic_t140,negative_MSE_FP32,mean_8,E,mean,14362,selection,A,-0.2594203120097518,-0.2599140703678131,0.0004937583580613136
generic_t140,negative_MSE_FP32,mean_8,E,mean,15492,selection,B,-0.26145727187395096,-0.2616322226822376,0.00017495080828666687
generic_t140,negative_MSE_FP32,mean_8,E,mean,15594,selection,A,-0.30086178705096245,-0.301672974601388,0.0008111875504255295
generic_t140,negative_MSE_FP32,mean_8,E,mean,16550,selection,B,-0.2613660339266062,-0.26131450571119785,-5.1528215408325195e-05
generic_t140,negative_MSE_FP32,mean_8,E,mean,16919,selection,B,-0.2664962764829397,-0.26703985407948494,0.0005435775965452194
generic_t140,negative_MSE_FP32,mean_8,E,mean,17927,selection,B,-0.30015313625335693,-0.3003850132226944,0.00023187696933746338
generic_t140,negative_MSE_FP32,mean_8,E,mean,18224,selection,A,-0.30367255210876465,-0.30422014743089676,0.0005475953221321106
generic_t140,negative_MSE_FP32,mean_8,E,mean,18614,selection,A,-0.2618068065494299,-0.26160544343292713,-0.00020136311650276184
generic_t140,negative_MSE_FP32,mean_8,E,mean,20106,selection,B,-0.2893335558474064,-0.28969612903892994,0.00036257319152355194
generic_t140,negative_MSE_FP32,mean_8,E,mean,21572,selection,A,-0.2740956675261259,-0.27398640662431717,-0.00010926090180873871
generic_t140,negative_MSE_FP32,mean_8,E,mean,21970,selection,B,-0.26100172009319067,-0.2614969965070486,0.0004952764138579369
generic_t140,negative_MSE_FP32,mean_8,E,mean,22835,selection,B,-0.28147416934370995,-0.2819968108087778,0.0005226414650678635
generic_t140,negative_MSE_FP32,mean_8,E,mean,25150,selection,A,-0.28836202807724476,-0.2887400630861521,0.0003780350089073181
generic_t140,negative_MSE_FP32,mean_8,E,mean,25514,selection,B,-0.28866385109722614,-0.2894637119024992,0.000799860805273056
generic_t140,negative_MSE_FP32,mean_8,E,mean,25680,selection,B,-0.258169730193913,-0.2586061740294099,0.00043644383549690247
generic_t140,negative_MSE_FP32,mean_8,E,mean,28655,selection,A,-0.28330342285335064,-0.28391200490295887,0.0006085820496082306
