arm,method,scenario,clean_primary,D_p_p,D_p_q,D_q_p,D_q_q,R_p,R_q,K,both_positive_arithmetic
original_fit80_frozen_patient_seen,cdi_image_max_fixed,E,False,0.05783951264010678,0.054782550284552145,0.09465355906637601,-0.046402416326039364,-0.03681404642626923,-0.10118496661059151,-0.13799901303686074,False
original_fit80_frozen_patient_seen,cdi_image_max_tuned,E,False,0.0023788037438112752,0.0074724181698048175,0.007190004379456716,-2.2405139598502544e-05,-0.004811200635645441,-0.00749482330940332,-0.01230602394504876,False
original_fit80_frozen_patient_seen,patient_mean26_fixed,E,False,0.004868911013393762,0.08752234417301574,-0.07216628097912497,-0.05364208493576211,0.07703519199251874,-0.14116442910877786,-0.06412923711625912,False
original_fit80_frozen_patient_seen,patient_mean26_tuned,E,False,0.008437548415379359,0.010355034302539201,-0.00045185336197128834,0.002497102188646849,0.008889401777350647,-0.007857932113892352,0.0010314696634582954,False
original_fit80_frozen_patient_seen,patient_meanmax52_fixed,E,False,0.00684036278437572,-8.381895129194739e-06,0.025638380498568814,-0.07255775652632279,-0.018798017714193094,-0.0725493746311936,-0.09134739234538669,False
original_fit80_frozen_patient_seen,patient_meanmax52_tuned,E,False,0.010805228553685486,0.017515632639282464,0.01306096767441467,0.0020879631753317196,-0.0022557391207291833,-0.015427669463950744,-0.017683408584679927,False
original_fit80_frozen_patient_seen,dl_mean,E,False,0.035846710205078125,0.0032825469970703125,-0.009380340576171875,0.0189971923828125,0.04522705078125,0.015714645385742188,0.06094169616699219,True
original_fit80_frozen_patient_seen,dl_max,E,False,0.0350799560546875,0.003215789794921875,-0.0302734375,0.00867462158203125,0.0653533935546875,0.005458831787109375,0.07081222534179688,True
original_fit80_frozen_patient_seen,secmi_mean,E,False,-0.001020028255879879,3.285706043243408e-05,-0.001064525917172432,0.0016277693212032318,4.449766129255295e-05,0.0015949122607707977,0.0016394099220633507,True
original_fit80_frozen_patient_seen,secmi_max,E,False,-0.00031658075749874115,-0.00020517781376838684,-0.0003881361335515976,0.0013959258794784546,7.155537605285645e-05,0.0016011036932468414,0.0016726590692996979,True
original_fit80_frozen_patient_seen,pia_mean,E,False,0.0060062408447265625,0.01602482795715332,0.009879708290100098,0.0068891048431396484,-0.003873467445373535,-0.009135723114013672,-0.013009190559387207,False
original_fit80_frozen_patient_seen,pia_max,E,False,-0.027385950088500977,0.007007122039794922,0.010601997375488281,-0.0027341842651367188,-0.03798794746398926,-0.00974130630493164,-0.0477292537689209,False
original_fit80_frozen_patient_seen,pian_mean,E,False,0.1290736198425293,0.043326377868652344,0.03345823287963867,0.04588603973388672,0.09561538696289062,0.002559661865234375,0.098175048828125,True
original_fit80_frozen_patient_seen,pian_max,E,False,0.038219451904296875,0.04784965515136719,-0.04643726348876953,0.03069782257080078,0.0846567153930664,-0.017151832580566406,0.0675048828125,False
original_fit80_frozen_patient_seen,patient_meanmax54_noobjective_fixed,E,False,0.002178268754214452,0.008557266198402469,0.023582679450640076,-0.06693583217423105,-0.021404410696425624,-0.07549309837263352,-0.09689750906905914,False
original_fit80_frozen_patient_seen,patient_meanmax54_noobjective_tuned,E,False,0.0072874687003604555,0.018728164199291464,0.013345529849719262,0.003337622895495218,-0.006058061149358807,-0.015390541303796246,-0.021448602453155052,False
leave_patient_out79_refit,cdi_image_mean_fixed,E,True,0.011701259953375787,0.044523767089628685,-0.026348608848681898,-0.044726532971177346,0.038049868802057685,-0.08925030006080603,-0.05120043125874835,False
leave_patient_out79_refit,cdi_image_mean_tuned,E,False,0.005577600681505257,0.008871191822852342,-0.0034520012705702152,0.001733499150576745,0.009029601952075472,-0.007137692672275597,0.0018919092797998749,False
