contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,pia_max,U,U,pia_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,pia_max,E,E,pia_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,pian_mean,E,U,pian_mean,E,E,-0.08000000000000007,-0.295,0.125
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,pian_mean,U,U,pian_mean,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,pian_mean,E,E,pian_mean,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,pian_max,E,U,pian_max,E,E,-0.11500000000000005,-0.3525,0.09256249999999969
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,pian_max,U,U,pian_max,E,U,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,pian_max,E,E,pian_max,U,E,0.0,0.0,0.0
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax54_noobjective_fixed,E,U,patient_meanmax54_noobjective_fixed,E,E,-0.19999999999999996,-0.4400625,0.06762499999999932
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax54_noobjective_fixed,U,U,patient_meanmax54_noobjective_fixed,E,U,0.25249999999999995,-0.015000000000000013,0.4975624999999997
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax54_noobjective_fixed,E,E,patient_meanmax54_noobjective_fixed,U,E,0.057499999999999996,-0.2100625,0.33749999999999997
cross_cell_contrasts,model_1,E_fitted_score_transfer_to_U,predeclared_cross_cell,patient_meanmax54_noobjective_tuned,E,U,patient_meanmax54_noobjective_tuned,E,E,-0.13999999999999996,-0.39,0.125
cross_cell_contrasts,model_1,U_fit_recovery_on_U,predeclared_cross_cell,patient_meanmax54_noobjective_tuned,U,U,patient_meanmax54_noobjective_tuned,E,U,0.14750000000000002,-0.08506250000000001,0.3600624999999996
cross_cell_contrasts,model_1,E_fit_advantage_on_E,predeclared_cross_cell,patient_meanmax54_noobjective_tuned,E,E,patient_meanmax54_noobjective_tuned,U,E,-0.05500000000000005,-0.32,0.21499999999999997
cross_cell_contrasts,model_2,E_fitted_score_transfer_to_U,predeclared_cross_cell,cdi_image_mean_fixed,E,U,cdi_image_mean_fixed,E,E,-0.12999999999999995,-0.3625,0.11006249999999965
cross_cell_contrasts,model_2,U_fit_recovery_on_U,predeclared_cross_cell,cdi_image_mean_fixed,U,U,cdi_image_mean_fixed,E,U,0.06250000000000006,-0.11750000000000005,0.2475624999999997
