family,method,budget,clipped_mse,mc_se,actual_mean_cost,cost_mc_se,calibration_mean_cost
F3_inside_heterogeneous,oracle_charged_B4,4,0.05191116269885648,0.00015782152161300744,4.0032958984375,0.003906284344465187,4.0
F3_inside_heterogeneous,raw_B8,8,0.016170937413655335,3.886400446748434e-05,8.009063720703125,0.013569643211230779,7.9998779296875
F3_inside_heterogeneous,matched_fixed_for_raw_B8,8,0.016267390803278433,3.0956390968414313e-05,8.0,0.0,7.9998779296875
F3_inside_heterogeneous,geometry_B8,8,0.016170937413655335,3.886400446748434e-05,8.009063720703125,0.013569643211230779,7.9998779296875
F3_inside_heterogeneous,matched_fixed_for_geometry_B8,8,0.016267412567031674,3.095617238274697e-05,7.9998779296875,0.0001220703125,7.9998779296875
F3_inside_heterogeneous,oracle_free_B8,8,0.01230137662430441,3.3994778497285395e-05,7.9912109375,0.013571472996263496,8.0
F3_inside_heterogeneous,oracle_charged_B8,8,0.016183180821710292,3.861958814029785e-05,7.99951171875,0.01352985670534904,8.0
F3_inside_heterogeneous,raw_B16,16,0.008297027997524168,1.56359596297916e-05,16.00390625,0.01562544705572684,16.0
F3_inside_heterogeneous,matched_fixed_for_raw_B16,16,0.008141234287737664,1.5555875198500355e-05,16.0,0.0,16.0
F3_inside_heterogeneous,geometry_B16,16,0.008297027997524168,1.56359596297916e-05,16.00390625,0.01562544705572684,16.0
F3_inside_heterogeneous,matched_fixed_for_geometry_B16,16,0.008141234287737664,1.5555875198500355e-05,16.0,0.0,16.0
F3_inside_heterogeneous,oracle_free_B16,16,0.008141234287737664,1.5555875198500355e-05,16.0,0.0,16.0
F3_inside_heterogeneous,oracle_charged_B16,16,0.008298886539512268,1.5622388746795938e-05,15.9716796875,0.015623910248074944,16.0
F4_boundary_heterogeneous,fixed_R1,,0.0665513005713118,0.0010545051916045181,1.0,0.0,1
F4_boundary_heterogeneous,fixed_R2,,0.0336455731619017,0.0005413502750530573,2.0,0.0,2
F4_boundary_heterogeneous,fixed_R4,,0.016771728680895392,0.0002654928729315031,4.0,0.0,4
F4_boundary_heterogeneous,fixed_R8,,0.00842212173845953,0.00013629932914809402,8.0,0.0,8
F4_boundary_heterogeneous,fixed_R16,,0.004186776406419266,6.747975400808619e-05,16.0,0.0,16
F4_boundary_heterogeneous,raw_B4,4,0.03798904100508277,0.0006938188270798696,4.008544921875,0.00869210949045342,3.99981689453125
F4_boundary_heterogeneous,matched_fixed_for_raw_B4,4,0.01677113278145259,0.0002654942148930816,3.9998779296875,8.631411137129126e-05,3.99981689453125
F4_boundary_heterogeneous,geometry_B4,4,0.03973156115219379,0.0007282515196938334,4.01361083984375,0.009348126785587337,3.99993896484375
F4_boundary_heterogeneous,matched_fixed_for_geometry_B4,4,0.016771728680895392,0.0002654928729315031,4.0,0.0,3.99993896484375
F4_boundary_heterogeneous,oracle_free_B4,4,0.014237160625094693,0.0002121958507651149,4.0067138671875,0.007812562343961275,4.0
F4_boundary_heterogeneous,oracle_charged_B4,4,0.028738361403281277,0.00044095646213519074,3.99932861328125,0.003906365693074249,4.0
F4_boundary_heterogeneous,raw_B8,8,0.016038539049220455,0.0003959016834609015,8.0079345703125,0.02279517903949843,8.0
F4_boundary_heterogeneous,matched_fixed_for_raw_B8,8,0.00842212173845953,0.00013629932914809402,8.0,0.0,8.0
F4_boundary_heterogeneous,geometry_B8,8,0.02232456555219293,0.0005728880119667178,8.018310546875,0.025091449689162593,7.99993896484375
F4_boundary_heterogeneous,matched_fixed_for_geometry_B8,8,0.008422156811069946,0.00013629923812424503,7.9998779296875,0.0001220703125,7.99993896484375
F4_boundary_heterogeneous,oracle_free_B8,8,0.007070201062920571,0.00010744666915977333,7.997314453125,0.015625462772296997,8.0
F4_boundary_heterogeneous,oracle_charged_B8,8,0.009044251017189713,0.00013632634718193956,8.0,0.0,8.0
F4_boundary_heterogeneous,raw_B16,16,0.006661392521400354,0.00019817090486595008,15.953857421875,0.021305602182598582,15.9996337890625
F4_boundary_heterogeneous,matched_fixed_for_raw_B16,16,0.004186781510908383,6.747978780364919e-05,15.999755859375,0.000244140625,15.9996337890625
F4_boundary_heterogeneous,geometry_B16,16,0.016208636491954302,0.000517126551114204,15.977020263671875,0.025326251599200926,15.99993896484375
F4_boundary_heterogeneous,matched_fixed_for_geometry_B16,16,0.004186819180071662,6.748128943433872e-05,15.999755859375,0.000244140625,15.99993896484375
F4_boundary_heterogeneous,oracle_free_B16,16,0.004186776406419266,6.747975400808619e-05,16.0,0.0,16.0
